Station	AirQuality	Longitude	Latitude	O3Hour	O3Quality	O3Value	NO2Hour	NO2Quality	NO2Value	PM10Hour	PM10Quality	PM10Value	Generated	Date Time
Barcelo - Gr??cia	Good	2.1534	413987	18h	Good	37	18h	Good	42				13/11/2018 19:00	1542132302
Barcelo - Ciutadella	Good	2.1874	413864	18h	Good	54	18h	Good	14				13/11/2018 19:00	1542132302
Barcelo - Vall Hebron	Good	2.148	414261	18h	Good	46	18h	Good	30	18h	Good	32	13/11/2018 19:00	1542132302
Barcelo - Palau Reial	Good	2.1151	413875	18h	Good	34	18h	Good	35	18h	Good	29	13/11/2018 19:00	1542132302
Barcelo - Poblenou	Good	2.2045	414039				18h	Good	17	18h	Good	32	13/11/2018 19:00	1542132302
Barcelo - Observ Fabra	Good	2.1239	414183	18h	Good	64	18h	Good	16	18h	Good	20	13/11/2018 19:00	1542132302
Barcelo - Sants	Good	2.1331	413788				19h	Good	41				13/11/2018 20:00	1542135901
Barcelo - Eixample	Moderate	2.1538	413853	19h	Good	12	19h	Good	79	19h	Moderate	40	13/11/2018 20:00	1542135901
Barcelo - Gr??cia	Good	2.1534	413987	19h	Good	23	19h	Good	55				13/11/2018 20:00	1542135901
Barcelo - Ciutadella	Good	2.1874	413864	19h	Good	47	19h	Good	21				13/11/2018 20:00	1542135901
Barcelo - Vall Hebron	Good	2.148	414261	19h	Good	24	19h	Good	49	19h	Good	32	13/11/2018 20:00	1542135901
Barcelo - Palau Reial	Good	2.1151	413875	19h	Good	28	19h	Good	38	19h	Good	29	13/11/2018 20:00	1542135901
Barcelo - Poblenou	Good	2.2045	414039				19h	Good	24	19h	Good	32	13/11/2018 20:00	1542135901
Barcelo - Observ Fabra	Good	2.1239	414183	19h	Good	56	19h	Good	22	19h	Good	21	13/11/2018 20:00	1542135901
Barcelo - Sants	Good	2.1331	413788				20h	Good	57				13/11/2018 21:00	1542139502
Barcelo - Eixample	Moderate	2.1538	413853	20h	Good	3	20h	Good	89	20h	Moderate	40	13/11/2018 21:00	1542139502
Barcelo - Gr??cia	Good	2.1534	413987	20h	Good	6	20h	Good	80				13/11/2018 21:00	1542139502
Barcelo - Ciutadella	Good	2.1874	413864	20h	Good	33	20h	Good	30				13/11/2018 21:00	1542139502
Barcelo - Vall Hebron	Good	2.148	414261	20h	Good	19	20h	Good	58	21h	Good	32	13/11/2018 21:00	1542139502
Barcelo - Palau Reial	Good	2.1151	413875	20h	Good	7	20h	Good	64	20h	Good	28	13/11/2018 21:00	1542139502
Barcelo - Poblenou	Good	2.2045	414039				20h	Good	39	20h	Good	31	13/11/2018 21:00	1542139502
Barcelo - Observ Fabra	Good	2.1239	414183	20h	Good	68	20h	Good	12	20h	Good	22	13/11/2018 21:00	1542139502
Barcelo - Sants	Good	2.1331	413788				21h	Good	59				13/11/2018 22:00	1542143102
Barcelo - Eixample	Moderate	2.1538	413853	21h	Good	4	21h	Good	82	21h	Moderate	40	13/11/2018 22:00	1542143102
Barcelo - Gr??cia	Good	2.1534	413987	21h	Good	19	21h	Good	64				13/11/2018 22:00	1542143102
Barcelo - Ciutadella	Good	2.1874	413864	21h	Good	32	21h	Good	31				13/11/2018 22:00	1542143102
Barcelo - Vall Hebron	Good	2.148	414261	21h	Good	26	21h	Good	53	21h	Good	31	13/11/2018 22:00	1542143102
Barcelo - Palau Reial	Good	2.1151	413875	21h	Good	12	21h	Good	61	21h	Good	28	13/11/2018 22:00	1542143102
Barcelo - Poblenou	Good	2.2045	414039				21h	Good	41	21h	Good	31	13/11/2018 22:00	1542143102
Barcelo - Observ Fabra	Good	2.1239	414183	21h	Good	71	21h	Good	11	21h	Good	22	13/11/2018 22:00	1542143102
Barcelo - Sants	Good	2.1331	413788				22h	Good	43				13/11/2018 23:00	1542146702
Barcelo - Eixample	Moderate	2.1538	413853	22h	Good	8	22h	Good	74	22h	Moderate	40	13/11/2018 23:00	1542146702
Barcelo - Gr??cia	Good	2.1534	413987	21h	Good	19	21h	Good	64				13/11/2018 23:00	1542146702
Barcelo - Ciutadella	Good	2.1874	413864	22h	Good	25	22h	Good	41				13/11/2018 23:00	1542146702
Barcelo - Vall Hebron	Good	2.148	414261	22h	Good	42	22h	Good	35	22h	Good	31	13/11/2018 23:00	1542146702
Barcelo - Palau Reial	Good	2.1151	413875	22h	Good	31	22h	Good	36	22h	Good	27	13/11/2018 23:00	1542146702
Barcelo - Poblenou	Good	2.2045	414039				22h	Good	42	22h	Good	30	13/11/2018 23:00	1542146702
Barcelo - Observ Fabra	Good	2.1239	414183	22h	Good	78	22h	Good	5	22h	Good	23	13/11/2018 23:00	1542146702
Barcelo - Sants	Good	2.1331	41.3788				23h	Good	43				14/11/2018 0:00	1542150301
Barcelo - Eixample	Moderate	2.1538	41.3853	23h	Good	8	23h	Good	67	23h	Moderate	40	14/11/2018 0:00	1542150301
Barcelo - Gr??cia	--	2.1534	41.3987										14/11/2018 0:00	1542150301
Barcelo - Ciutadella	Good	2.1874	41.3864	23h	Good	39	23h	Good	22				14/11/2018 0:00	1542150301
Barcelo - Vall Hebron	Good	2.148	41.4261	23h	Good	35	23h	Good	38	23h	Good	31	14/11/2018 0:00	1542150301
Barcelo - Palau Reial	Good	2.1151	41.3875	23h	Good	32	23h	Good	35	23h	Good	27	14/11/2018 0:00	1542150301
Barcelo - Poblenou	Good	2.2045	41.4039				23h	Good	26	23h	Good	30	14/11/2018 0:00	1542150301
Barcelo - Observ Fabra	Good	2.1239	41.4183	23h	Good	76	23h	Good	6	23h	Good	24	14/11/2018 0:00	1542150301
Barcelo - Sants	Good	2.1331	41.3788				0h	Good	38				14/11/2018 1:00	1542153902
Barcelo - Eixample	Moderate	2.1538	41.3853	0h	Good	5	0h	Good	66	0h	Moderate	39	14/11/2018 1:00	1542153902
Barcelo - Gr??cia	Good	2.1534	41.3987	0h	Good	19	0h	Good	64				14/11/2018 1:00	1542153902
Barcelo - Ciutadella	Good	2.1874	41.3864	0h	Good	27	0h	Good	33				14/11/2018 1:00	1542153902
Barcelo - Vall Hebron	Good	2.148	41.4261	0h	Good	40	0h	Good	27	0h	Good	30	14/11/2018 1:00	1542153902
Barcelo - Palau Reial	Good	2.1151	41.3875	0h	Good	38	0h	Good	23	0h	Good	27	14/11/2018 1:00	1542153902
Barcelo - Poblenou	Good	2.2045	41.4039				0h	Good	53	0h	Good	30	14/11/2018 1:00	1542153902
Barcelo - Observ Fabra	Good	2.1239	41.4183	0h	Good	75	0h	Good	5	0h	Good	23	14/11/2018 1:00	1542153902
Barcelo - Sants	Good	2.1331	41.3788				1h	Good	31				14/11/2018 2:00	1542157502
Barcelo - Eixample	Moderate	2.1538	41.3853	1h	Good	8	1h	Good	55	1h	Moderate	39	14/11/2018 2:00	1542157502
Barcelo - Gr??cia	--	2.1534	41.3987	23h	--		23h	--					14/11/2018 2:00	1542157502
Barcelo - Ciutadella	Good	2.1874	41.3864	1h	Good	10	1h	Good	48				14/11/2018 2:00	1542157502
Barcelo - Vall Hebron	Good	2.148	41.4261	1h	Good	45	1h	Good	17	1h	Good	30	14/11/2018 2:00	1542157502
Barcelo - Palau Reial	Good	2.1151	41.3875	1h	Good	45	1h	Good	12	1h	Good	26	14/11/2018 2:00	1542157502
Barcelo - Poblenou	Good	2.2045	41.4039				1h	Good	45	1h	Good	30	14/11/2018 2:00	1542157502
Barcelo - Observ Fabra	Good	2.1239	41.4183	1h	Good	76	1h	Good	4	1h	Good	24	14/11/2018 2:00	1542157502
Barcelo - Sants	Good	2.1331	41.3788				2h	Good	19				14/11/2018 3:00	1542161102
Barcelo - Eixample	Moderate	2.1538	41.3853	2h	Good	17	2h	Good	39	2h	Moderate	39	14/11/2018 3:00	1542161102
Barcelo - Gr??cia	--	2.1534	41.3987	0h	--		0h	--					14/11/2018 3:00	1542161102
Barcelo - Ciutadella	Good	2.1874	41.3864	2h	Good	16	2h	Good	40				14/11/2018 3:00	1542161102
Barcelo - Vall Hebron	Good	2.148	41.4261	2h	Good	52	2h	Good	13	2h	Good	30	14/11/2018 3:00	1542161102
Barcelo - Palau Reial	Good	2.1151	41.3875	2h	Good	51	2h	Good	8	2h	Good	26	14/11/2018 3:00	1542161102
Barcelo - Poblenou	Good	2.2045	41.4039				2h	Good	43	3h	Good	30	14/11/2018 3:00	1542161102
Barcelo - Observ Fabra	Good	2.1239	41.4183	2h	Good	77	2h	Good	3	2h	Good	24	14/11/2018 3:00	1542161102
Barcelo - Sants	Good	2.1331	41.3788				3h	Good	17				14/11/2018 4:00	1542164702
Barcelo - Eixample	Moderate	2.1538	41.3853	3h	Good	22	3h	Good	32	3h	Moderate	39	14/11/2018 4:00	1542164702
Barcelo - Gr??cia	--	2.1534	41.3987	1h	--		1h	--					14/11/2018 4:00	1542164702
Barcelo - Ciutadella	Good	2.1874	41.3864	3h	Good	29	3h	Good	25				14/11/2018 4:00	1542164702
Barcelo - Vall Hebron	Good	2.148	41.4261	3h	Good	55	3h	Good	9	3h	Good	29	14/11/2018 4:00	1542164702
Barcelo - Palau Reial	Good	2.1151	41.3875	3h	Good	55	3h	Good	3	3h	Good	26	14/11/2018 4:00	1542164702
Barcelo - Poblenou	Good	2.2045	41.4039				3h	Good	33	3h	Good	30	14/11/2018 4:00	1542164702
Barcelo - Observ Fabra	Good	2.1239	41.4183	3h	Good	78	3h	Good	3	3h	Good	24	14/11/2018 4:00	1542164702
Barcelo - Sants	Good	2.1331	41.3788				4h	Good	14				14/11/2018 5:00	1542168301
Barcelo - Eixample	Moderate	2.1538	41.3853	4h	Good	15	4h	Good	39	4h	Moderate	39	14/11/2018 5:00	1542168301
Barcelo - Gr??cia	Good	2.1534	41.3987	4h	Good	41	4h	Good	16				14/11/2018 5:00	1542168301
Barcelo - Ciutadella	Good	2.1874	41.3864	4h	Good	23	4h	Good	28				14/11/2018 5:00	1542168301
Barcelo - Vall Hebron	Good	2.148	41.4261	4h	Good	54	4h	Good	10	4h	Good	28	14/11/2018 5:00	1542168301
Barcelo - Palau Reial	Good	2.1151	41.3875	4h	Good	53	4h	Good	5	4h	Good	26	14/11/2018 5:00	1542168301
Barcelo - Poblenou	Good	2.2045	41.4039				4h	Good	33	4h	Good	30	14/11/2018 5:00	1542168301
Barcelo - Observ Fabra	Good	2.1239	41.4183	4h	Good	80	4h	Good	2	4h	Good	23	14/11/2018 5:00	1542168301
Barcelo - Sants	Good	2.1331	41.3788				5h	Good	13				14/11/2018 6:00	1542171902
Barcelo - Eixample	Moderate	2.1538	41.3853	5h	Good	19	5h	Good	35	5h	Moderate	39	14/11/2018 6:00	1542171902
Barcelo - Gr??cia	Good	2.1534	41.3987	5h	Good	42	5h	Good	16				14/11/2018 6:00	1542171902
Barcelo - Ciutadella	Good	2.1874	41.3864	5h	Good	15	5h	Good	26				14/11/2018 6:00	1542171902
Barcelo - Vall Hebron	Good	2.148	41.4261	5h	Good	52	5h	Good	11	5h	Good	28	14/11/2018 6:00	1542171902
Barcelo - Palau Reial	Good	2.1151	41.3875	5h	Good	52	5h	Good	7	5h	Good	26	14/11/2018 6:00	1542171902
Barcelo - Poblenou	Good	2.2045	41.4039				5h	Good	32	5h	Good	30	14/11/2018 6:00	1542171902
Barcelo - Observ Fabra	Good	2.1239	41.4183	5h	Good	81	5h	Good	2	5h	Good	24	14/11/2018 6:00	1542171902
Barcelo - Sants	Good	2.1331	41.3788				6h	Good	13				14/11/2018 7:00	1542175502
Barcelo - Eixample	Moderate	2.1538	41.3853	6h	Good	16	6h	Good	41	6h	Moderate	39	14/11/2018 7:00	1542175502
Barcelo - Gr??cia	Good	2.1534	41.3987	6h	Good	40	6h	Good	17				14/11/2018 7:00	1542175502
Barcelo - Ciutadella	Good	2.1874	41.3864	6h	Good	14	6h	Good	28				14/11/2018 7:00	1542175502
Barcelo - Vall Hebron	Good	2.148	41.4261	6h	Good	42	6h	Good	20	6h	Good	29	14/11/2018 7:00	1542175502
Barcelo - Palau Reial	Good	2.1151	41.3875	6h	Good	53	6h	Good	7	6h	Good	26	14/11/2018 7:00	1542175502
Barcelo - Poblenou	Good	2.2045	41.4039				6h	Good	37	6h	Good	30	14/11/2018 7:00	1542175502
Barcelo - Observ Fabra	Good	2.1239	41.4183	6h	Good	80	6h	Good	2	6h	Good	23	14/11/2018 7:00	1542175502
Barcelo - Sants	Good	2.1331	41.3788				7h	Good	24				14/11/2018 8:00	1542179101
Barcelo - Eixample	Moderate	2.1538	41.3853	7h	Good	7	7h	Good	62	7h	Moderate	39	14/11/2018 8:00	1542179101
Barcelo - Gr??cia	Good	2.1534	41.3987	7h	Good	23	7h	Good	37				14/11/2018 8:00	1542179101
Barcelo - Ciutadella	Good	2.1874	41.3864	7h	Good	7	7h	Good	37				14/11/2018 8:00	1542179101
Barcelo - Vall Hebron	Good	2.148	41.4261	7h	Good	23	7h	Good	37	7h	Good	28	14/11/2018 8:00	1542179101
Barcelo - Palau Reial	Good	2.1151	41.3875	7h	Good	45	7h	Good	16	7h	Good	26	14/11/2018 8:00	1542179101
Barcelo - Poblenou	Good	2.2045	41.4039				7h	Good	42	7h	Good	30	14/11/2018 8:00	1542179101
Barcelo - Observ Fabra	Good	2.1239	41.4183	7h	Good	80	7h	Good	3	7h	Good	23	14/11/2018 8:00	1542179101
Barcelo - Sants	Good	2.1331	41.3788				8h	Good	43				14/11/2018 9:00	1542182701
Barcelo - Eixample	Moderate	2.1538	41.3853	8h	Good	6	8h	Good	84	8h	Moderate	39	14/11/2018 9:00	1542182701
Barcelo - Gr??cia	Good	2.1534	41.3987	8h	Good	10	8h	Good	62				14/11/2018 9:00	1542182701
Barcelo - Ciutadella	Good	2.1874	41.3864	8h	Good	3	8h	Good	51				14/11/2018 9:00	1542182701
Barcelo - Vall Hebron	Good	2.148	41.4261	8h	Good	17	8h	Good	46	8h	Good	28	14/11/2018 9:00	1542182701
Barcelo - Palau Reial	Good	2.1151	41.3875	8h	Good	35	8h	Good	31	8h	Good	26	14/11/2018 9:00	1542182701
Barcelo - Poblenou	Good	2.2045	41.4039				8h	Good	48	8h	Good	30	14/11/2018 9:00	1542182701
Barcelo - Observ Fabra	Good	2.1239	41.4183	8h	Good	79	8h	Good	5	8h	Good	23	14/11/2018 9:00	1542182701
Barcelo - Sants	Good	2.1331	41.3788				9h	Good	58				14/11/2018 10:00	1542186301
Barcelo - Eixample	Good	2.1538	41.3853	9h	Good	3	9h	Good	90	9h	Good	36	14/11/2018 10:00	1542186301
Barcelo - Gr??cia	Good	2.1534	41.3987	9h	Good	23	9h	Good	56				14/11/2018 10:00	1542186301
Barcelo - Ciutadella	Good	2.1874	41.3864	9h	Good	2	9h	Good	66				14/11/2018 10:00	1542186301
Barcelo - Vall Hebron	Good	2.148	41.4261	9h	Good	15	9h	Good	60	9h	Good	26	14/11/2018 10:00	1542186301
Barcelo - Palau Reial	Good	2.1151	41.3875	9h	Good	26	9h	Good	45	9h	Good	26	14/11/2018 10:00	1542186301
Barcelo - Poblenou	Good	2.2045	41.4039				9h	Good	56	9h	Good	31	14/11/2018 10:00	1542186301
Barcelo - Observ Fabra	Good	2.1239	41.4183	9h	Good	73	9h	Good	10	9h	Good	24	14/11/2018 10:00	1542186301
Barcelo - Sants	Good	2.1331	41.3788				10h	Good	55				14/11/2018 11:00	1542189902
Barcelo - Eixample	Good	2.1538	41.3853	10h	Good	8	10h	Good	85	10h	Good	36	14/11/2018 11:00	1542189902
Barcelo - Gr??cia	Good	2.1534	41.3987	10h	Good	25	10h	Good	56				14/11/2018 11:00	1542189902
Barcelo - Ciutadella	Good	2.1874	41.3864	10h	Good	5	10h	Good	68				14/11/2018 11:00	1542189902
Barcelo - Vall Hebron	Good	2.148	41.4261	10h	Good	29	10h	Good	44	10h	Good	26	14/11/2018 11:00	1542189902
Barcelo - Palau Reial	Good	2.1151	41.3875	10h	Good	32	10h	Good	40	10h	Good	26	14/11/2018 11:00	1542189902
Barcelo - Poblenou	Good	2.2045	41.4039				10h	Good	60	10h	Good	31	14/11/2018 11:00	1542189902
Barcelo - Observ Fabra	Good	2.1239	41.4183	10h	Good	66	10h	Good	17	10h	Good	24	14/11/2018 11:00	1542189902
Barcelo - Sants	Good	2.1331	41.3788				11h	Good	48				14/11/2018 12:00	1542193502
Barcelo - Eixample	Moderate	2.1538	41.3853	11h	Good	17	11h	Good	72	11h	Moderate	37	14/11/2018 12:00	1542193502
Barcelo - Gr??cia	Good	2.1534	41.3987	11h	Good	29	11h	Good	53				14/11/2018 12:00	1542193502
Barcelo - Ciutadella	Good	2.1874	41.3864	11h	Good	35	11h	Good	40				14/11/2018 12:00	1542193502
Barcelo - Vall Hebron	Good	2.148	41.4261	11h	Good	39	11h	Good	35	11h	Good	26	14/11/2018 12:00	1542193502
Barcelo - Palau Reial	Good	2.1151	41.3875	11h	Good	43	11h	Good	28	11h	Good	26	14/11/2018 12:00	1542193502
Barcelo - Poblenou	Good	2.2045	41.4039				11h	Good	35	11h	Good	31	14/11/2018 12:00	1542193502
Barcelo - Observ Fabra	Good	2.1239	41.4183	11h	Good	64	11h	Good	19	11h	Good	24	14/11/2018 12:00	1542193502
Barcelo - Sants	Good	2.1331	41.3788				12h	Good	23				14/11/2018 13:00	1542197102
Barcelo - Eixample	Moderate	2.1538	41.3853	12h	Good	44	12h	Good	52	12h	Moderate	37	14/11/2018 13:00	1542197102
Barcelo - Gr??cia	Good	2.1534	41.3987	12h	Good	60	12h	Good	31				14/11/2018 13:00	1542197102
Barcelo - Ciutadella	Good	2.1874	41.3864	12h	Good	53	12h	Good	24				14/11/2018 13:00	1542197102
Barcelo - Vall Hebron	Good	2.148	41.4261	12h	Good	60	12h	Good	28	12h	Good	26	14/11/2018 13:00	1542197102
Barcelo - Palau Reial	Good	2.1151	41.3875	12h	Good	59	12h	Good	17	12h	Good	26	14/11/2018 13:00	1542197102
Barcelo - Poblenou	Good	2.2045	41.4039				12h	Good	17	12h	Good	31	14/11/2018 13:00	1542197102
Barcelo - Observ Fabra	Good	2.1239	41.4183	12h	Good	73	12h	Good	18	12h	Good	24	14/11/2018 13:00	1542197102
Barcelo - Sants	Good	2.1331	41.3788				13h	Good	20				14/11/2018 14:00	1542200702
Barcelo - Eixample	Good	2.1538	41.3853	13h	Good	38	13h	Good	61	14h	Good	36	14/11/2018 14:00	1542200702
Barcelo - Gr??cia	Good	2.1534	41.3987	13h	Good	60	13h	Good	34				14/11/2018 14:00	1542200702
Barcelo - Ciutadella	Good	2.1874	41.3864	13h	Good	65	13h	Good	11				14/11/2018 14:00	1542200702
Barcelo - Vall Hebron	Good	2.148	41.4261	13h	Good	75	13h	Good	15	13h	Good	26	14/11/2018 14:00	1542200702
Barcelo - Palau Reial	Good	2.1151	41.3875	13h	Good	64	13h	Good	13	13h	Good	26	14/11/2018 14:00	1542200702
Barcelo - Poblenou	Good	2.2045	41.4039				13h	Good	14	13h	Good	30	14/11/2018 14:00	1542200702
Barcelo - Observ Fabra	Good	2.1239	41.4183	12h	Good	73	12h	Good	18	13h	Good	23	14/11/2018 14:00	1542200702
Barcelo - Sants	Good	2.1331	41.3788				13h	Good	20				14/11/2018 15:00	1542204301
Barcelo - Eixample	Good	2.1538	41.3853	14h	Good	45	14h	Good	52	14h	Good	36	14/11/2018 15:00	1542204301
Barcelo - Gr??cia	Good	2.1534	41.3987	13h	Good	60	13h	Good	34				14/11/2018 15:00	1542204301
Barcelo - Ciutadella	Good	2.1874	41.3864	14h	Good	62	14h	Good	14				14/11/2018 15:00	1542204301
Barcelo - Vall Hebron	Good	2.148	41.4261	14h	Good	75	14h	Good	14	14h	Good	26	14/11/2018 15:00	1542204301
Barcelo - Palau Reial	Good	2.1151	41.3875	14h	Good	62	14h	Good	13	14h	Good	25	14/11/2018 15:00	1542204301
Barcelo - Poblenou	Good	2.2045	41.4039				14h	Good	15	14h	Good	30	14/11/2018 15:00	1542204301
Barcelo - Observ Fabra	Good	2.1239	41.4183	12h	Good	73	12h	Good	18	14h	Good	23	14/11/2018 15:00	1542204301
Barcelo - Sants	Good	2.1331	41.3788				13h	Good	20				14/11/2018 16:00	1542207901
Barcelo - Eixample	Good	2.1538	41.3853	15h	Good	43	15h	Good	52	15h	Good	35	14/11/2018 16:00	1542207901
Barcelo - Gr??cia	Good	2.1534	41.3987	13h	Good	60	13h	Good	34				14/11/2018 16:00	1542207901
Barcelo - Ciutadella	Good	2.1874	41.3864	15h	Good	66	15h	Good	11				14/11/2018 16:00	1542207901
Barcelo - Vall Hebron	Good	2.148	41.4261	15h	Good	76	15h	Good	12	15h	Good	26	14/11/2018 16:00	1542207901
Barcelo - Palau Reial	Good	2.1151	41.3875	15h	Good	63	15h	Good	12	15h	Good	25	14/11/2018 16:00	1542207901
Barcelo - Poblenou	Good	2.2045	41.4039				15h	Good	12	15h	Good	30	14/11/2018 16:00	1542207901
Barcelo - Observ Fabra	Good	2.1239	41.4183	15h	Good	85	15h	Good	7	15h	Good	23	14/11/2018 16:00	1542207901
Barcelo - Sants	--	2.1331	41.3788				14h	--					14/11/2018 17:00	1542211501
Barcelo - Eixample	Good	2.1538	41.3853	16h	Good	44	16h	Good	50	16h	Good	35	14/11/2018 17:00	1542211501
Barcelo - Gr??cia	--	2.1534	41.3987	14h	--		14h	--					14/11/2018 17:00	1542211501
Barcelo - Ciutadella	Good	2.1874	41.3864	16h	Good	60	16h	Good	15				14/11/2018 17:00	1542211501
Barcelo - Vall Hebron	Good	2.148	41.4261	16h	Good	68	16h	Good	17	17h	Good	25	14/11/2018 17:00	1542211501
Barcelo - Palau Reial	Good	2.1151	41.3875	16h	Good	61	16h	Good	12	16h	Good	25	14/11/2018 17:00	1542211501
Barcelo - Poblenou	Good	2.2045	41.4039				16h	Good	15	16h	Good	29	14/11/2018 17:00	1542211501
Barcelo - Observ Fabra	Good	2.1239	41.4183	16h	Good	79	16h	Good	11	16h	Good	23	14/11/2018 17:00	1542211501
Barcelo - Sants	--	2.1331	41.3788				15h	--					14/11/2018 18:00	1542215101
Barcelo - Eixample	Good	2.1538	41.3853	17h	Good	37	17h	Good	59	17h	Good	34	14/11/2018 18:00	1542215101
Barcelo - Gr??cia	--	2.1534	41.3987	15h	--		15h	--					14/11/2018 18:00	1542215101
Barcelo - Ciutadella	Good	2.1874	41.3864	17h	Good	54	17h	Good	20				14/11/2018 18:00	1542215101
Barcelo - Vall Hebron	Good	2.148	41.4261	17h	Good	63	17h	Good	22	17h	Good	25	14/11/2018 18:00	1542215101
Barcelo - Palau Reial	Good	2.1151	41.3875	17h	Good	55	17h	Good	20	17h	Good	25	14/11/2018 18:00	1542215101
Barcelo - Poblenou	Good	2.2045	41.4039				17h	Good	17	17h	Good	29	14/11/2018 18:00	1542215101
Barcelo - Observ Fabra	Good	2.1239	41.4183	17h	Good	78	17h	Good	12	17h	Good	23	14/11/2018 18:00	1542215101
Barcelo - Sants	--	2.1331	41.3788				16h	--					14/11/2018 19:00	1542218702
Barcelo - Eixample	Good	2.1538	41.3853	18h	Good	25	18h	Good	71	18h	Good	34	14/11/2018 19:00	1542218702
Barcelo - Gr??cia	Good	2.1534	41.3987	18h	Good	45	18h	Good	41				14/11/2018 19:00	1542218702
Barcelo - Ciutadella	Good	2.1874	41.3864	18h	Good	55	18h	Good	15				14/11/2018 19:00	1542218702
Barcelo - Vall Hebron	Good	2.148	41.4261	18h	Good	50	18h	Good	33	18h	Good	25	14/11/2018 19:00	1542218702
Barcelo - Palau Reial	Good	2.1151	41.3875	18h	Good	43	18h	Good	32	18h	Good	25	14/11/2018 19:00	1542218702
Barcelo - Poblenou	Good	2.2045	41.4039				18h	Good	21	18h	Good	29	14/11/2018 19:00	1542218702
Barcelo - Observ Fabra	Good	2.1239	41.4183	18h	Good	68	18h	Good	19	18h	Good	23	14/11/2018 19:00	1542218702
Barcelo - Sants	--	2.1331	41.3788				17h	--					14/11/2018 20:00	1542222302
Barcelo - Eixample	Good	2.1538	41.3853	19h	Good	21	19h	Good	72	19h	Good	34	14/11/2018 20:00	1542222302
Barcelo - Gr??cia	Good	2.1534	41.3987	19h	Good	41	19h	Good	47				14/11/2018 20:00	1542222302
Barcelo - Ciutadella	Good	2.1874	41.3864	19h	Good	50	19h	Good	20				14/11/2018 20:00	1542222302
Barcelo - Vall Hebron	Good	2.148	41.4261	19h	Good	51	19h	Good	32	19h	Good	25	14/11/2018 20:00	1542222302
Barcelo - Palau Reial	Good	2.1151	41.3875	19h	Good	41	19h	Good	32	19h	Good	25	14/11/2018 20:00	1542222302
Barcelo - Poblenou	Good	2.2045	41.4039				19h	Good	19	19h	Good	29	14/11/2018 20:00	1542222302
Barcelo - Observ Fabra	Good	2.1239	41.4183	19h	Good	68	19h	Good	18	19h	Good	23	14/11/2018 20:00	1542222302
Barcelo - Sants	--	2.1331	41.3788				18h	--					14/11/2018 21:00	1542225901
Barcelo - Eixample	Good	2.1538	41.3853	20h	Good	14	20h	Good	76	20h	Good	34	14/11/2018 21:00	1542225901
Barcelo - Gr??cia	Good	2.1534	41.3987	20h	Good	36	20h	Good	47				14/11/2018 21:00	1542225901
Barcelo - Ciutadella	Good	2.1874	41.3864	20h	Good	46	20h	Good	21				14/11/2018 21:00	1542225901
Barcelo - Vall Hebron	Good	2.148	41.4261	20h	Good	37	20h	Good	41	20h	Good	25	14/11/2018 21:00	1542225901
Barcelo - Palau Reial	Good	2.1151	41.3875	20h	Good	37	20h	Good	33	20h	Good	24	14/11/2018 21:00	1542225901
Barcelo - Poblenou	Good	2.2045	41.4039				20h	Good	25	20h	Good	29	14/11/2018 21:00	1542225901
Barcelo - Observ Fabra	Good	2.1239	41.4183	20h	Good	64	20h	Good	17	20h	Good	22	14/11/2018 21:00	1542225901
Barcelo - Sants	--	2.1331	41.3788				19h	--					14/11/2018 22:00	1542229501
Barcelo - Eixample	Good	2.1538	41.3853	21h	Good	11	21h	Good	76	21h	Good	33	14/11/2018 22:00	1542229501
Barcelo - Gr??cia	Good	2.1534	41.3987	21h	Good	24	21h	Good	54				14/11/2018 22:00	1542229501
Barcelo - Ciutadella	Good	2.1874	41.3864	21h	Good	35	21h	Good	32				14/11/2018 22:00	1542229501
Barcelo - Vall Hebron	Good	2.148	41.4261	21h	Good	22	21h	Good	53	21h	Good	25	14/11/2018 22:00	1542229501
Barcelo - Palau Reial	Good	2.1151	41.3875	21h	Good	24	21h	Good	46	21h	Good	25	14/11/2018 22:00	1542229501
Barcelo - Poblenou	Good	2.2045	41.4039				21h	Good	33	21h	Good	29	14/11/2018 22:00	1542229501
Barcelo - Observ Fabra	Good	2.1239	41.4183	21h	Good	53	21h	Good	24	21h	Good	22	14/11/2018 22:00	1542229501
Barcelo - Sants	Good	2.1331	41.3788				22h	Good	37				14/11/2018 23:00	1542233102
Barcelo - Eixample	Good	2.1538	41.3853	22h	Good	20	22h	Good	57	22h	Good	33	14/11/2018 23:00	1542233102
Barcelo - Gr??cia	Good	2.1534	41.3987	22h	Good	17	22h	Good	59				14/11/2018 23:00	1542233102
Barcelo - Ciutadella	Good	2.1874	41.3864	22h	Good	33	22h	Good	30				14/11/2018 23:00	1542233102
Barcelo - Vall Hebron	Good	2.148	41.4261	22h	Good	20	22h	Good	52	22h	Good	25	14/11/2018 23:00	1542233102
Barcelo - Palau Reial	Good	2.1151	41.3875	22h	Good	26	22h	Good	41	22h	Good	25	14/11/2018 23:00	1542233102
Barcelo - Poblenou	Good	2.2045	41.4039							23h	Good	29	14/11/2018 23:00	1542233102
Barcelo - Observ Fabra	Good	2.1239	41.4183	22h	Good	54	22h	Good	22	22h	Good	21	14/11/2018 23:00	1542233102
Barcelo - Sants	Good	2.1331	41.3788				23h	Good	27				15/11/2018 0:00	1542236701
Barcelo - Eixample	Good	2.1538	41.3853	23h	Good	25	23h	Good	48	23h	Good	33	15/11/2018 0:00	1542236701
